year,week,rate_attend_control,rate_attend_pilot,time,wknd,wknd_trend,end,end_trend,outlier
2014,14,2.11927795,4.872700694,1,0,0,0,0,0
2014,15,3.490575446,4.872700694,2,0,0,0,0,0
2014,16,3.989229081,6.395419661,3,0,0,0,0,0
2014,17,2.368604767,4.568156901,4,0,0,0,0,0
2014,18,3.241248629,7.004507248,5,0,0,0,0,0
2014,19,2.867258402,6.090875868,6,0,0,0,0,0
2014,20,3.11658522,4.263613108,7,0,0,0,0,0
2014,21,2.742594994,6.090875868,8,0,0,0,0,0
2014,22,3.615238855,4.872700694,9,0,0,0,0,0
2014,23,3.615238855,6.090875868,10,0,0,0,0,0
2014,24,4.363219308,8.527226215,11,0,0,0,0,0
2014,25,3.11658522,4.263613108,12,0,0,0,0,0
2014,26,3.739902264,3.654525521,13,0,0,0,0,0
2014,27,2.243941358,3.349981727,14,0,0,0,0,0
2014,28,3.241248629,5.786332075,15,0,0,0,0,0
2014,29,1.620624314,4.568156901,16,0,0,0,0,0
2014,30,2.243941358,5.786332075,17,0,0,0,0,0
2014,31,2.991921811,3.654525521,18,0,0,0,0,0
2014,32,2.368604767,4.872700694,19,0,0,0,0,0
2014,33,2.368604767,3.349981727,20,0,0,0,0,0
2014,34,2.368604767,3.349981727,21,0,0,0,0,0
2014,35,3.11658522,5.786332075,22,0,0,0,0,0
2014,36,2.493268176,4.263613108,23,0,0,0,0,0
2014,37,2.368604767,3.959069314,24,0,0,0,0,0
2014,38,3.11658522,6.090875868,25,0,0,0,0,0
2014,39,2.742594994,4.872700694,26,0,0,0,0,0
2014,40,3.739902264,3.654525521,27,0,0,0,0,0
2014,41,1.994614541,4.872700694,28,0,0,0,0,0
2014,42,2.867258402,5.177244488,29,0,0,0,0,0
2014,43,1.620624314,5.786332075,30,0,0,0,0,0
2014,44,2.991921811,5.786332075,31,0,0,0,0,0
2014,45,3.365912037,4.568156901,32,0,0,0,0,0
2014,46,1.620624314,4.872700694,33,0,0,0,0,0
2014,47,3.739902264,3.959069314,34,0,0,0,0,0
2014,48,2.742594994,5.786332075,35,0,0,0,0,0
2014,49,3.11658522,5.786332075,36,1,1,0,0,0
2014,50,2.493268176,7.918138628,37,1,2,0,0,0
2014,51,2.368604767,6.395419661,38,1,3,0,0,0
2014,52,3.739902264,4.568156901,39,1,4,0,0,0
2015,1,3.864565673,6.090875868,40,1,5,0,0,0
2015,2,1.745287723,3.959069314,41,1,6,0,0,0
2015,3,4.238555899,4.568156901,42,1,7,0,0,0
2015,4,2.368604767,1.218175174,43,1,8,0,0,1
2015,5,3.615238855,6.395419661,44,1,9,0,0,0
2015,6,1.994614541,3.045437934,45,1,10,0,0,0
2015,7,2.11927795,3.959069314,46,1,11,0,0,0
2015,8,2.991921811,3.959069314,47,1,12,0,0,0
2015,9,2.617931585,3.045437934,48,1,13,0,0,0
2015,10,2.243941358,3.045437934,49,1,14,0,0,0
2015,11,2.368604767,5.177244488,50,1,15,0,0,0
2015,12,3.490575446,6.090875868,51,1,16,0,0,0
2015,13,2.368604767,2.740894141,52,1,17,0,0,0
2015,14,2.867258402,5.481788281,53,1,18,0,0,0
2015,15,2.991921811,5.481788281,54,1,19,0,0,0
2015,16,2.867258402,4.872700694,55,1,20,0,0,0
2015,17,2.867258402,5.786332075,56,1,21,0,0,0
2015,18,2.991921811,4.263613108,57,1,22,0,0,0
2015,19,3.241248629,5.786332075,58,1,23,0,0,0
2015,20,2.617931585,6.395419661,59,1,24,0,0,0
2015,21,3.11658522,6.090875868,60,1,25,0,0,0
2015,22,3.11658522,3.654525521,61,1,26,0,0,0
2015,23,2.11927795,5.481788281,62,1,27,1,1,0
2015,24,3.864565673,3.045437934,63,1,28,1,2,0
2015,25,2.867258402,5.481788281,64,1,29,1,3,0
2015,26,3.989229081,3.959069314,65,1,30,1,4,0
2015,27,5.111199761,4.263613108,66,1,31,1,5,0
2015,28,2.867258402,8.222682422,67,1,32,1,6,0
2015,29,2.867258402,5.481788281,68,1,33,1,7,0
2015,30,2.493268176,4.568156901,69,1,34,1,8,0
2015,31,3.739902264,5.481788281,70,1,35,1,9,0
2015,32,3.739902264,3.959069314,71,1,36,1,10,0
2015,33,1.869951132,6.699963455,72,1,37,1,11,0
2015,34,2.11927795,4.872700694,73,1,38,1,12,0
2015,35,3.615238855,4.568156901,74,1,39,1,13,0
